X,Y,OBJECTID,LOC_NAME,PARK_ID,URL,SHORT_NAME,REGION,PARK_TYPE,GIS_ACRES
727705.0966,4251059.3585,995,Mastodon State Historic Site,4202,http://mostateparks.com/park/mastodon-state-historic-site,Mastodon SHS,Eastern Region,State Historic Site,420.49600219
558908.3799,4326926.0626,996,Finger Lakes State Park,4107,http://mostateparks.com/park/finger-lakes-state-park,Finger Lakes SP,Northern Region,State Park,1050.22998046
584845.4624,4268438.126,997,Clark's Hill/Norton State Historic Site,4315,http://mostateparks.com/park/clarks-hillnorton-state-historic-site,Clark's Hill/Norton SHS,Northern Region,State Historic Site,13.03209972
437182.8838,4327853.2396,998,Confederate Memorial State Historic Site,4105,http://mostateparks.com/park/confederate-memorial-state-historic-site,Confederate Memorial SHS,Northern Region,State Historic Site,141.47599792
719322.8461,4126467.1708,999,Sam A. Baker State Park,4218,http://mostateparks.com/park/sam-baker-state-park,Sam A Baker SP,Eastern Region,State Park,5582.1899414
442447.2453,4439649.0957,1000,Crowder State Park,4106,http://mostateparks.com/park/crowder-state-park,Crowder SP,Northern Region,State Park,1973.56005859
635773.5708,4285337.0177,1001,Deutschheim State Historic Site,4207,http://mostateparks.com/park/deutschheim-state-historic-site,Deutschheim SHS,Eastern Region,State Historic Site,0.69242697
384990.2676,4054522.2318,1002,Big Sugar Creek State Park,4314,http://mostateparks.com/park/big-sugar-creek-state-park,Big Sugar Creek SP,Ozark Region,State Park,2079.12988281
510591.3107,4325834.0619,1003,Boone's Lick State Historic Site,4124,http://mostateparks.com/park/boones-lick-state-historic-site,Boone's Lick SHS,Northern Region,State Historic Site,52.59420013
481147.0958,4293646.7535,1004,Bothwell Lodge State Historic Site,4302,http://mostateparks.com/park/bothwell-lodge-state-historic-site,Bothwell Lodge SHS,Northern Region,State Historic Site,235.66900634
658191.9559,4176104.4354,1005,Dillard Mill State Historic Site,9008,http://mostateparks.com/park/dillard-mill-state-historic-site,Dillard Mill SHS,Eastern Region,State Historic Site,133.08000183
480213.3792,4401443.7503,1006,Pershing State Park,4111,http://mostateparks.com/park/pershing-state-park,Pershing SP,Northern Region,State Park,5392.02001953
604370.7032,4372172.6139,1007,Mark Twain Birthplace State Historic Site,4126,http://mostateparks.com/park/mark-twain-birthplace-state-historic-site,Mark Twain Birthplace SHS,Northern Region,State Historic Site,1.83478999
577240.9422,4365206.5053,1008,Union Covered Bridge State Historic Site,4123,http://mostateparks.com/park/union-covered-bridge-state-historic-site,Union Covered Bridge SHS,Northern Region,State Historic Site,2.50493001
477494.4192,4347271.3838,1009,Annie and Abel Van Meter State Park,4115,http://mostateparks.com/park/van-meter-state-park,Van Meter SP,Northern Region,State Park,1123.56994628
424175.4243,4338643.4201,1010,Battle of Lexington State Historic Site,4103,http://mostateparks.com/park/battle-lexington-state-historic-site,Battle of Lexington SHS,Northern Region,State Historic Site,92.89029693
